Age,Distribution
46.9,0.017196273
47.0,0.017266154
47.1,0.017336665
47.2,0.017407801
47.3,0.017479554
47.4,0.017551918
47.5,0.017624887
47.6,0.017698451
47.7,0.017772604
47.8,0.017847336
47.9,0.017922639
48.0,0.017998503
48.1,0.018074918
48.2,0.018151874
48.3,0.01822936
48.4,0.018307364
48.5,0.018385875
48.6,0.018464879
48.7,0.018544365
48.8,0.018624319
48.9,0.018704726
49.0,0.018785571
49.1,0.01886684
49.2,0.018948517
49.3,0.019030585
49.4,0.019113026
49.5,0.019195824
49.6,0.01927896
49.7,0.019362414
49.8,0.019446167
49.9,0.019530198
50.0,0.019614487
50.1,0.019699011
50.2,0.019783748
50.3,0.019868675
50.4,0.019953767
50.5,0.020039
50.6,0.020124347
50.7,0.020209784
50.8,0.020295282
50.9,0.020380813
51.0,0.020466349
51.1,0.020551861
51.2,0.020637317
51.3,0.020722686
51.4,0.020807937
51.5,0.020893035
51.6,0.020977948
51.7,0.021062641
51.8,0.021147077
51.9,0.021231221
52.0,0.021315035
52.1,0.02139848
52.2,0.021481517
52.3,0.021564106
52.4,0.021646206
52.5,0.021727774
52.6,0.021808769
52.7,0.021889145
52.8,0.021968858
52.9,0.022047862
53.0,0.022126111
53.1,0.022203556
53.2,0.022280149
53.3,0.022355841
53.4,0.02243058
53.5,0.022504317
53.6,0.022576997
53.7,0.022648569
53.8,0.022718977
53.9,0.022788167
54.0,0.022856084
54.1,0.022922669
54.2,0.022987866
54.3,0.023051617
54.4,0.023113861
54.5,0.023174539
54.6,0.02323359
54.7,0.023290952
54.8,0.023346564
54.9,0.023400361
55.0,0.023452281
55.1,0.023502259
55.2,0.023550229
55.3,0.023596127
55.4,0.023639887
55.5,0.023681441
55.6,0.023720723
55.7,0.023757664
55.8,0.023792198
55.9,0.023824257
56.0,0.02385377
56.1,0.023880671
56.2,0.023904889
56.3,0.023926356
56.4,0.023945003
56.5,0.02396076
56.6,0.023973559
56.7,0.023983331
56.8,0.023990006
56.9,0.023993517
57.0,0.023993796
57.1,0.023990774
57.2,0.023984384
57.3,0.023974561
57.4,0.023961237
57.5,0.023944348
57.6,0.02392383
57.7,0.023899618
57.8,0.023871651
57.9,0.023839867
58.0,0.023804207
58.1,0.023764611
58.2,0.023721022
58.3,0.023673385
58.4,0.023621644
58.5,0.023565749
58.6,0.023505648
58.7,0.023441292
58.8,0.023372636
58.9,0.023299635
59.0,0.023222246
59.1,0.023140431
59.2,0.023054152
59.3,0.022963375
59.4,0.022868069
59.5,0.022768204
59.6,0.022663755
59.7,0.0225547
59.8,0.022441019
59.9,0.022322696
60.0,0.02219972
60.1,0.022072081
60.2,0.021939774
60.3,0.021802798
60.4,0.021661156
60.5,0.021514855
60.6,0.021363905
60.7,0.021208322
60.8,0.021048125
60.9,0.020883339
61.0,0.020713991
61.1,0.020540116
61.2,0.02036175
61.3,0.020178937
61.4,0.019991724
61.5,0.019800163
61.6,0.019604312
61.7,0.019404233
61.8,0.019199994
61.9,0.018991667
62.0,0.018779329
62.1,0.018563064
62.2,0.018342959
62.3,0.018119107
62.4,0.017891606
62.5,0.01766056
62.6,0.017426077
62.7,0.017188269
62.8,0.016947256
62.9,0.01670316
63.0,0.016456109
63.1,0.016206236
63.2,0.015953678
63.3,0.015698577
63.4,0.015441078
63.5,0.015181334
63.6,0.014919497
63.7,0.014655727
63.8,0.014390185
63.9,0.014123038
64.0,0.013854454
64.1,0.013584606
64.2,0.013313669
64.3,0.013041821
64.4,0.012769242
64.5,0.012496114
64.6,0.012222622
64.7,0.011948952
64.8,0.011675291
64.9,0.011401828
65.0,0.011128751
65.1,0.010856249
65.2,0.010584514
65.3,0.010313732
65.4,0.010044094
65.5,0.009775787
65.6,0.009508996
65.7,0.009243907
65.8,0.008980702
65.9,0.008719562
66.0,0.008460664
66.1,0.008204182
66.2,0.007950288
66.3,0.007699148
66.4,0.007450925
66.5,0.007205779
66.6,0.006963863
66.7,0.006725326
66.8,0.006490311
66.9,0.006258955
67.0,0.00603139
67.1,0.005807742
67.2,0.005588128
67.3,0.005372661
67.4,0.005161445
67.5,0.004954578
67.6,0.00475215
67.7,0.004554243
67.8,0.004360933
67.9,0.004172286
68.0,0.003988361
68.1,0.003809209
68.2,0.003634873
68.3,0.003465386
68.4,0.003300776
68.5,0.003141061
68.6,0.00298625
68.7,0.002836346
68.8,0.002691343
68.9,0.002551227
69.0,0.002415977
69.1,0.002285564
69.2,0.002159951
69.3,0.002039095
69.4,0.001922946
69.5,0.001811447
69.6,0.001704534
69.7,0.001602138
69.8,0.001504184
69.9,0.001410591
70.0,0.001321274
70.1,0.001236141
70.2,0.001155098
70.3,0.001078046
70.4,0.001004881
70.5,0.0009355
70.6,0.000869791
70.7,0.000807645
70.8,0.000748947
70.9,0.000693583
71.0,0.000641436
71.1,0.000592388
71.2,0.000546322
71.3,0.00050312
71.4,0.000462662
71.5,0.000424832
71.6,0.000389512
71.7,0.000356587
71.8,0.000325943
71.9,0.000297466
72.0,0.000271046
72.1,0.000246575
72.2,0.000223946
72.3,0.000203055
72.4,0.000183803
72.5,0.000166091
72.6,0.000149825
72.7,0.000134914
72.8,0.000121268
72.9,0.000108805
73.0,9.74E-05
73.1,8.71E-05
73.2,7.77E-05
73.3,6.92E-05
73.4,6.15E-05
73.5,5.45E-05
73.6,4.83E-05
73.7,4.26E-05
73.8,3.76E-05
73.9,3.31E-05
74.0,2.90E-05
74.1,2.54E-05
74.2,2.22E-05
74.3,1.94E-05
74.4,1.68E-05
74.5,1.46E-05
74.6,1.27E-05
74.7,1.09E-05
74.8,9.42E-06
74.9,8.10E-06
75.0,6.94E-06
75.1,5.94E-06
75.2,5.07E-06
75.3,4.31E-06
75.4,3.66E-06
75.5,3.09E-06
75.6,2.61E-06
75.7,2.20E-06
75.8,1.84E-06
75.9,1.54E-06
76.0,1.29E-06
76.1,1.07E-06
76.2,8.88E-07
76.3,7.34E-07
76.4,6.05E-07
76.5,4.97E-07
76.6,4.07E-07
76.7,3.33E-07
76.8,2.71E-07
76.9,2.19E-07
77.0,1.77E-07
77.1,1.43E-07
77.2,1.15E-07
77.3,9.17E-08
77.4,7.31E-08
77.5,5.80E-08
77.6,4.59E-08
77.7,3.62E-08
77.8,2.84E-08
77.9,2.22E-08
78.0,1.73E-08
78.1,1.34E-08
78.2,1.04E-08
78.3,7.98E-09
78.4,6.12E-09
78.5,4.67E-09
78.6,3.55E-09
78.7,2.68E-09
78.8,2.02E-09
78.9,1.51E-09
79.0,1.13E-09
79.1,8.39E-10
79.2,6.20E-10
79.3,4.56E-10
79.4,3.34E-10
79.5,2.43E-10
79.6,1.76E-10
79.7,1.27E-10
79.8,9.12E-11
79.9,6.51E-11
80.0,4.62E-11
80.1,3.26E-11
80.2,2.29E-11
80.3,1.60E-11
80.4,1.11E-11
80.5,7.66E-12
80.6,5.26E-12
80.7,3.58E-12
80.8,2.43E-12
80.9,1.64E-12
81.0,1.10E-12
81.1,7.30E-13
81.2,4.82E-13
81.3,3.17E-13
81.4,2.07E-13
81.5,1.34E-13
81.6,8.63E-14
81.7,5.52E-14
81.8,3.50E-14
81.9,2.21E-14
82.0,1.38E-14
82.1,8.58E-15
82.2,5.29E-15
82.3,3.24E-15
82.4,1.97E-15
82.5,1.18E-15
82.6,7.08E-16
82.7,4.20E-16
82.8,2.47E-16
82.9,1.44E-16
83.0,8.33E-17
83.1,4.78E-17
83.2,2.72E-17
83.3,1.53E-17
83.4,8.55E-18
83.5,4.73E-18
83.6,2.59E-18
83.7,1.41E-18
83.8,7.58E-19
83.9,4.04E-19
84.0,2.13E-19
84.1,1.11E-19
84.2,5.76E-20
84.3,2.95E-20
84.4,1.49E-20
84.5,7.49E-21
84.6,3.72E-21
84.7,1.82E-21
84.8,8.84E-22
84.9,4.24E-22
85.0,2.01E-22
85.1,9.43E-23
85.2,4.37E-23
85.3,2.00E-23
85.4,9.05E-24
85.5,4.04E-24
85.6,1.78E-24
85.7,7.78E-25
85.8,3.34E-25
85.9,1.42E-25
86.0,5.95E-26
86.1,2.46E-26
86.2,1.00E-26
86.3,4.03E-27
86.4,1.60E-27
86.5,6.24E-28
86.6,2.40E-28
86.7,9.13E-29
86.8,3.41E-29
86.9,1.26E-29
87.0,4.56E-30
87.1,1.63E-30
87.2,5.71E-31
87.3,1.97E-31
87.4,6.72E-32
87.5,2.25E-32
87.6,7.38E-33
87.7,2.39E-33
87.8,7.58E-34
87.9,2.37E-34
88.0,7.25E-35
88.1,2.18E-35
88.2,6.45E-36
88.3,1.87E-36
88.4,5.32E-37
88.5,1.48E-37
88.6,4.06E-38
88.7,1.09E-38
88.8,2.86E-39
88.9,7.35E-40
89.0,1.85E-40
89.1,4.57E-41
89.2,1.10E-41
89.3,2.61E-42
89.4,6.03E-43
89.5,1.36E-43
89.6,3.01E-44
89.7,6.49E-45
89.8,1.37E-45
89.9,2.81E-46
90.0,5.65E-47
90.1,1.11E-47
90.2,2.11E-48
90.3,3.93E-49
90.4,7.14E-50
90.5,1.26E-50
90.6,2.17E-51
90.7,3.64E-52
90.8,5.93E-53
90.9,9.39E-54
91.0,1.45E-54
91.1,2.17E-55
91.2,3.15E-56
91.3,4.44E-57
91.4,6.09E-58
91.5,8.09E-59
91.6,1.04E-59
91.7,1.30E-60
91.8,1.57E-61
91.9,1.84E-62
92.0,2.08E-63
92.1,2.28E-64
92.2,2.41E-65
92.3,2.47E-66
92.4,2.43E-67
92.5,2.32E-68
92.6,2.13E-69
92.7,1.89E-70
92.8,1.61E-71
92.9,1.33E-72
93.0,1.05E-73
93.1,7.98E-75
93.2,5.83E-76
93.3,4.10E-77
93.4,2.77E-78
93.5,1.79E-79
93.6,1.11E-80
93.7,6.61E-82
93.8,3.76E-83
93.9,2.05E-84
94.0,1.07E-85
94.1,5.33E-87
94.2,2.54E-88
94.3,1.15E-89
94.4,4.99E-91
94.5,2.06E-92
94.6,8.10E-94
94.7,3.03E-95
94.8,1.08E-96
94.9,3.64E-98
95.0,1.17E-99
95.1,3.56E-101
95.2,1.03E-102
95.3,2.81E-104
95.4,7.26E-106
95.5,1.77E-107
95.6,4.10E-109
95.7,8.94E-111
95.8,1.84E-112
95.9,3.57E-114
96.0,6.50E-116
96.1,1.12E-117
96.2,1.80E-119
96.3,2.72E-121
96.4,3.87E-123
96.5,5.14E-125
96.6,6.41E-127
96.7,7.46E-129
96.8,8.11E-131
96.9,8.23E-133
97.0,7.78E-135
97.1,6.85E-137
97.2,5.62E-139
97.3,4.27E-141
97.4,3.02E-143
97.5,1.98E-145
97.6,1.20E-147
97.7,6.72E-150
97.8,3.48E-152
97.9,1.66E-154
98.0,7.33E-157
98.1,2.97E-159
98.2,1.11E-161
98.3,3.79E-164
98.4,1.19E-166
98.5,3.41E-169
98.6,8.95E-172
98.7,2.14E-174
98.8,4.69E-177
98.9,9.33E-180
99.0,1.69E-182
99.1,2.77E-185
99.2,4.13E-188
99.3,5.57E-191
99.4,6.79E-194
99.5,7.47E-197
99.6,7.40E-200
99.7,6.60E-203
99.8,5.28E-206
99.9,3.79E-209
100.0,2.44E-212
100.1,1.40E-215
100.2,7.18E-219
100.3,3.28E-222
100.4,1.33E-225
100.5,4.80E-229
100.6,1.53E-232
100.7,4.32E-236
100.8,1.07E-239
100.9,2.36E-243
101.0,4.55E-247
101.1,7.69E-251
101.2,1.14E-254
101.3,1.48E-258
101.4,1.67E-262
101.5,1.64E-266
101.6,1.40E-270
101.7,1.03E-274
101.8,6.61E-279
101.9,3.65E-283
102.0,1.73E-287
102.1,7.07E-292
102.2,2.47E-296
102.3,7.39E-301
102.4,1.88E-305
102.5,0
102.6,0
102.7,0
102.8,0
102.9,0
103.0,0
103.1,0
103.2,0
103.3,0
103.4,0
103.5,0
103.6,0
103.7,0
103.8,0
103.9,0
104.0,0
104.1,0
104.2,0
104.3,0
104.4,0
104.5,0
104.6,0
104.7,0
104.8,0
104.9,0
105.0,0
